iter	MultiClass
0	1.090279198
1	1.0820689
2	1.0742299
3	1.066590321
4	1.05902512
5	1.051871492
6	1.044628139
7	1.037542255
8	1.030734516
9	1.024145785
10	1.01773924
11	1.011315018
12	1.005179104
13	0.9992011321
14	0.9932283565
15	0.987329286
16	0.9815848264
17	0.9761280264
18	0.9706628567
19	0.9652799247
20	0.9602426263
21	0.9550787756
22	0.9500534232
23	0.9451842479
24	0.9403030586
25	0.9355893768
26	0.9310717231
27	0.9265443874
28	0.9220354221
29	0.917671791
30	0.913392709
31	0.9093155249
32	0.9051863548
33	0.9011725932
34	0.8973008178
35	0.8934409443
36	0.88976041
37	0.8861256891
38	0.8824804332
39	0.8790368991
40	0.87555077
41	0.8722706695
42	0.8690717108
43	0.865686001
44	0.862361203
45	0.859188246
46	0.8560660959
47	0.8531367697
48	0.8501399108
49	0.84715544
50	0.844196912
51	0.8413579359
52	0.8387181206
53	0.8358935264
54	0.8332717391
55	0.8305878484
56	0.8279523419
57	0.8253411911
58	0.8229239479
59	0.8204755272
60	0.8180162279
61	0.8156659756
62	0.8133500348
63	0.8110429786
64	0.8087593881
65	0.8064802153
66	0.8043163081
67	0.8021446004
68	0.8000355344
69	0.7978850202
70	0.7958997965
71	0.7939333474
72	0.7918943328
73	0.7900171377
74	0.7881083566
75	0.786262546
76	0.7843680168
77	0.7825759218
78	0.781118502
79	0.7793750625
80	0.7776014224
81	0.7759606662
82	0.7743699976
83	0.7727689205
84	0.7712341465
85	0.7696447656
86	0.7681054678
87	0.7664859291
88	0.7649729312
89	0.7636987087
90	0.7622059718
91	0.7607154249
92	0.7592867344
93	0.7578935536
94	0.7564936474
95	0.7551537011
96	0.7538883322
97	0.7526293434
98	0.7513694785
99	0.750051272
100	0.7487840166
101	0.7474984651
102	0.7462784007
103	0.7450641042
104	0.7439292965
105	0.7427801545
106	0.7416451124
107	0.74047366
108	0.739376754
109	0.738381159
110	0.7373368688
111	0.7362528566
112	0.7352394209
113	0.7341953899
114	0.7331593186
115	0.7321712993
116	0.7311515809
117	0.7301469607
118	0.7292040402
119	0.7282419836
120	0.727406842
121	0.7266459529
122	0.7257288432
123	0.724842716
124	0.7239298051
125	0.7230781524
126	0.7224182151
127	0.7216624194
